strain_id,strain,genus,polysaccharide,polysaccharide_name,polysaccharide_source,source_kingdom,OD600_48h,OD600_48h_sd,n_rep,OD600_48h_batch1,OD600_48h_batch2
DA1247,Bacteroides_salyersiae,Bacteroides,PLPs,Pueraria lobata polysaccharides,Pueraria lobata,Plant,0.08916666666666667,0.0027141603981096366,6,0.08833333333333333,0.09000000000000001
DA1247,Bacteroides_salyersiae,Bacteroides,PPs,Poria polysaccharides,Poria cocos,Fungus,-0.0035,0.0030166206257996714,6,-0.001,-0.006000000000000001
DA1247,Bacteroides_salyersiae,Bacteroides,PQPs,Panax Quinquefolium polysaccharides,Panax quinquefolium,Plant,0.371,0.022503333086456315,6,0.37366666666666665,0.36833333333333335
DA1247,Bacteroides_salyersiae,Bacteroides,PSPs,Polygonatum sibiricum polysaccharides,Polygonatum sibiricum,Plant,0.42816666666666664,0.04101910124157606,6,0.429,0.42733333333333334
DA1247,Bacteroides_salyersiae,Bacteroides,RAPs,Rhizoma Anemarrhenae polysaccharides,Anemarrhena asphodeloides,Plant,0.3626666666666667,0.035319494145112915,6,0.3336666666666666,0.39166666666666666
DA1247,Bacteroides_salyersiae,Bacteroides,RNPs,Radix Notoginseng polysaccharides,Panax notoginseng,Plant,0.3285,0.02076294776759792,6,0.3333333333333333,0.32366666666666666
DA1247,Bacteroides_salyersiae,Bacteroides,RPPs,Radix Pseudostellariae polysaccharides,Pseudostellaria heterophylla,Plant,0.0385,0.006534523701081816,6,0.036,0.041
DA1247,Bacteroides_salyersiae,Bacteroides,SPs,Scrophulariaceae polysaccharide,Scrophularia ningpoensis,Plant,0.0105,0.00151657508881031,6,0.011000000000000001,0.01
DA14,Bacteroides_xylanisolvens,Bacteroides,APs,Astragalus polysaccharides,Astragalus membranaceus,Plant,0.25533333333333336,0.014502873278538067,3,0.25533333333333336,
DA14,Bacteroides_xylanisolvens,Bacteroides,AdPs,Adenophora polysaccharides,Glehnia littoralis,Plant,0.32616666666666666,0.02209449403509087,6,0.3263333333333333,0.326
DA14,Bacteroides_xylanisolvens,Bacteroides,AnPs,Angelica polysaccharides,Angelica sinensis,Plant,0.2628333333333333,0.009558591249063159,6,0.26333333333333336,0.26233333333333336
DA14,Bacteroides_xylanisolvens,Bacteroides,CPPs,Codonopsis pilosula polysaccharides,Codonopsis pilosula,Plant,0.07116666666666667,0.006823977334858805,6,0.07433333333333333,0.068
DA14,Bacteroides_xylanisolvens,Bacteroides,DPs_1,Dendrobe polysaccharides 1,Dendrobium officinale,Plant,0.09683333333333333,0.03350124375800595,3,0.09683333333333333,
DA14,Bacteroides_xylanisolvens,Bacteroides,DPs_2,Dendrobe polysaccharides 2,Dendrobium officinale,Plant,0.06999999999999999,0.00435889894354067,3,0.06999999999999999,
DA14,Bacteroides_xylanisolvens,Bacteroides,GLPs_1,Ganoderma lucidum polysaccharides 1,Ganoderma lucidum,Fungus,0.1275,0.013000000000000008,3,0.1275,
DA14,Bacteroides_xylanisolvens,Bacteroides,GLPs_2,Ganoderma lucidum polysaccharides 2,Ganoderma lucidum,Fungus,0.01,0.010148891565092221,3,0.01,
DA14,Bacteroides_xylanisolvens,Bacteroides,GPs,Ginseng polysaccharides,Panax ginseng,Plant,0.6088333333333333,0.021501937897160147,3,0.6088333333333333,
DA14,Bacteroides_xylanisolvens,Bacteroides,HAPs,Hovenia acerba polysaccharides,Hovenia acerba,Plant,0.09516666666666666,0.007960318251594383,6,0.09033333333333333,0.09999999999999999
DA14,Bacteroides_xylanisolvens,Bacteroides,LBPs_1,Lycium barbarum polysaccharides 1,Lycium barbarum,Plant,0.09800000000000002,0.0020000000000000018,3,0.09800000000000002,
DA14,Bacteroides_xylanisolvens,Bacteroides,LBPs_2,Lycium barbarum polysaccharides 2,Lycium barbarum,Plant,0.06,0.0060827625302982205,3,0.06,
DA14,Bacteroides_xylanisolvens,Bacteroides,PLPs,Pueraria lobata polysaccharides,Pueraria lobata,Plant,0.0008333333333333334,0.0017224014243685084,6,0.0006666666666666666,0.001
