catnr,compound_name,hgpcr,rlu,z_score,smiles
CFN97028,Tombozine,5HT4B,3013.0,0.26991239514338794,CC=C1CN2C3CC1C(C2CC4=C3NC5=CC=CC=C45)CO
CFN96442,Vomicine,5HT4B,2624.5,-0.632117415722902,CN1CC[C@]23[C@@H]4[C@H]5[C@@H](CC2=O)C(=CCO[C@H]5CC(=O)N4C6=C3C=CC=C6O)C1
CFN96295,Quinamine,5HT4B,2313.0,-1.355366543354432,C=CC1CN2CCC1CC2C34C(CCO3)(C5=CC=CC=C5N4)O
CFN96181,Pelirine,5HT4B,3159.5,0.6100600587004317,CC=C1CN(C2CC3=C(C(=O)CC1C2CO)NC4=C3C=C(C=C4)OC)C
CFN96176,Crassanine,5HT4B,2954.5,0.13408551242607014,CCC1CC2CC3(C1N(C2)CCC34C5=CC(=C(C=C5NC4=O)OC)OC)C(=O)OC
CFN96170,Spegatrine,5HT4B,3111.5,0.49861236006058113,C/C=C\1/C[N+]2([C@H]3C[C@H]1[C@H](C2CC4=C3NC5=C4C=C(C=C5)O)CO)C
CFN96130,16-Epinormacusine B,5HT4B,2651.5,-0.5694280852379862,CC=C1CN2C3CC1C(C2CC4=C3NC5=CC=CC=C45)CO
CFN96116,Tubotaiwine,5HT4B,2569.0,-0.7609788172752292,CCC1C2CCN3C1C4(CC3)C5=CC=CC=C5NC4=C2C(=O)OC
CFN99735,(S)-10-Hydroxycamptothecin,5HT4B,2936.5,0.0922926254361262,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=C(C3=C2)N=C5C=CC(=CC5=C4)O)O
CFN99580,Liensinine,5HT4B,2913.0,0.03772968964369939,CN1CCC2=CC(=C(C=C2[C@H]1CC3=CC=C(C=C3)O)OC4=C(C=CC(=C4)C[C@@H]5C6=CC(=C(C=C6CCN5C)OC)OC)O)OC
CFN99511,Yohimbine Hydrochloride,5HT4B,3550.5,1.5178944372042138,COC(=O)[C@H]1[C@H](CC[C@@H]2[C@@H]1C[C@H]3C4=C(CCN3C2)C5=CC=CC=C5N4)O
CFN99001,Gelsemine,5HT4B,3479.0,1.3518838027719364,CN1C[C@]2([C@@H]3C[C@@H]4[C@]5([C@H]2[C@H]1[C@H]3CO4)C6=CC=CC=C6NC5=O)C=C
CFN98155,Isocorynoxeine,5HT4B,3406.5,1.1835513412846623,CO/C=C(\[C@H]1C[C@H]2[C@]3(CCN2C[C@@H]1C=C)C4=CC=CC=C4NC3=O)/C(=O)OC
CFN98131,Rhynchophylline,5HT4B,3136.5,0.5566580364355033,CC[C@H]1CN2CC[C@]3([C@@H]2C[C@@H]1/C(=C\OC)/C(=O)OC)C4=CC=CC=C4NC3=O
CFN98130,Strychnine,5HT4B,3547.0,1.5097680425117248,C1CN2CC3=CCO[C@H]4CC(=O)N5[C@H]6[C@H]4[C@H]3C[C@H]2[C@@]61C7=CC=CC=C75
CFN98112,Reserpine,5HT4B,2756.0,-0.3267971579908116,CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C([C@H]3C[C@@H]2[C@@H]1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC
CFN97249,Camptothecin,5HT4B,3100.0,0.471911348928117,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O
CFN93555,Ranaconitine,5HT4B,2483.5,-0.9594950304774629,CCN1C[C@@]2(CC[C@@H]([C@@]34[C@@H]2C[C@@](C31)([C@]5(C[C@@H]([C@H]6C[C@@H]4[C@@]5([C@H]6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C
CFN92553,Isorhyncophylline,5HT4B,2968.0,0.16543017766852808,CC[C@H]1CN2CC[C@@]3([C@@H]2C[C@@H]1/C(=C\OC)/C(=O)OC)C4=CC=CC=C4NC3=O
CFN90886,Irinotecan hydrochloride,5HT4B,3124.0,0.5276351982480422,CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)[C@@]4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7
CFN90464,Vincamine,5HT4B,2975.5,0.18284388058100473,CC[C@@]12CCCN3[C@@H]1C4=C(CC3)C5=CC=CC=C5N4[C@](C2)(C(=O)OC)O
CFN90462,Topotecan hydrochloride,5HT4B,2805.0,-0.21302763229596425,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC(=C5CN(C)C)O)N=C4C3=C2)O
CFN90336,7-Ethylcamptothecin,5HT4B,2401.5,-1.1498848489872076,CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)[C@@]4(CC)O)C2=NC5=CC=CC=C51
CFN90335,7-Ethyl-10-Hydroxycamptothecin,5HT4B,2732.5,-0.38136009378323843,CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)[C@@]4(CC)O)C2=NC5=C1C=C(C=C5)O
CFN90320,Cinchonine,5HT4B,2819.5,-0.1793611399985094,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](C3=CC=NC4=CC=CC=C34)O
CFN90244,Brucine,5HT4B,2653.0,-0.5659453446554908,COC1=C(C=C2C(=C1)[C@]34CCN5[C@H]3C[C@@H]6[C@@H]7[C@@H]4N2C(=O)C[C@@H]7OCC=C6C5)OC
CFN90195,Quinine,5HT4B,3273.0,0.8735874294425782,COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)O
CFN90147,Yohimbine,5HT4B,3149.5,0.5868417881504628,COC(=O)[C@H]1[C@H](CC[C@@H]2[C@@H]1C[C@H]3C4=C(CCN3C2)C5=CC=CC=C5N4)O
CFN99819,Isocarapanaubine,5HT4B,3472.0,1.3356310133869582,C[C@H]1[C@@H]2CN3CC[C@@]4([C@@H]3C[C@@H]2C(=CO1)C(=O)OC)C5=CC(=C(C=C5NC4=O)OC)OC
CFN99736,10-Hydroxycamptothecin,5HT4B,2860.5,-0.08416623074363709,CCC1(C2=C(COC1=O)C(=O)N3CC4=C(C3=C2)N=C5C=CC(=CC5=C4)O)O
CFN99677,Dihydroperaksine,5HT4B,3381.5,1.1255056649097401,C[C@H]1[C@@H]([C@@H]2C[C@@H]3N1[C@H]([C@@H]2CO)CC4=C3NC5=CC=CC=C45)CO
CFN99655,Peraksine,5HT4B,3702.5,1.8708121495637404,CC1C2COC(C3C2CC4N1C3CC5=C4NC6=CC=CC=C56)O
CFN99579,Liensinine diperchlorate,5HT4B,2876.0,-0.04817791139118537,CN1CCC2=CC(=C(C=C2[C@H]1CC3=CC=C(C=C3)O)OC4=C(C=CC(=C4)C[C@@H]5C6=CC(=C(C=C6CCN5C)OC)OC)O)OC
CFN99578,Liensinine perchlorate,5HT4B,3170.5,0.6356001563053973,CN1CCC2=CC(=C(C=C2[C@H]1CC3=CC=C(C=C3)O)OC4=C(C=CC(=C4)C[C@@H]5C6=CC(=C(C=C6CCN5C)OC)OC)O)OC
CFN99473,Conophylline,5HT4B,3133.5,0.5496925552705126,CCC12CC(=C3C4(C1N(CC4)C5C(C2O)OC6=CC7=C(C=C56)C89CCN1C8C(CC(=C9N7)C(=O)OC)(C2C(C1)O2)CC)C1=CC(=C(C(=C1N3)OC)OC)O)C(=O)OC
