lipid_id,head,amino_acid,tail,amino_acid_full,aa_proteinogenic,head_description,log2_luc_pred,log2_luc_paper,log2_is_paper_verified,below_heatmap_floor,R,G,B,size_px,darkness
CHCth-3,CH,Cth,3,cystathionine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,182.1943879625864,203.8820658804392,211.09068727124847,2459,23.827708333333362
CHCth-4,CH,Cth,4,cystathionine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,166.36351791530944,210.42866449511402,209.43061889250814,1535,17.075781250000006
CHCth-5,CH,Cth,5,cystathionine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,187.1276991809382,201.63775130305288,211.68056589724497,2686,25.35213541666664
CHCth-6,CH,Cth,6,cystathionine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,187.20976154992547,201.73062593144562,211.7365871833085,2684,25.282135416666648
CHCth-7,CH,Cth,7,cystathionine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,193.84093211752787,199.38331644714623,213.14792299898684,2961,26.748124999999987
CHCth-8,CH,Cth,8,cystathionine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,175.5239223117006,206.53813358597822,210.0947418285173,2111,21.514999999999986
CHCth-9,CH,Cth,9,cystathionine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,175.3696591454633,206.43398943831014,209.98799807969274,2083,21.344270833333326
CHCth-10,CH,Cth,10,cystathionine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,203.375,194.94447743467933,215.46080760095012,3368,28.755468750000006
CHCth-11,CH,Cth,11,cystathionine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,191.30304077401522,199.5597788527989,213.28645473393226,2894,26.48953125
CHCth-12,CH,Cth,12,cystathionine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,167.9395933014354,209.79724880382776,209.79724880382776,1672,18.19911458333337
CHCth-13,CH,Cth,13,cystathionine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,184.54378420641126,202.73964034401877,211.82525410476936,2558,24.37911458333332
